,ROOM TYPE>,ADMIT,AIRLOCK,ALCOVE,ANIMAL,ANTE.RM,ARCHIVE,ARMORY,AUDI,AUDI.S,AV.RM,BALANCE,BAR,BED.RM,BOOK.ST,CAGE.ST,CAGE.WA,CALLCTR,CASHIER,CHAPEL,CLASS,CLASS.S,CLEAN,CLINIC,COLD.RM,COMMON,COMPLAB,COMPTR,CONDO,CONF,CONSULT,CONTROL,COPY.RM,COURT,DANCE,DARK.RM,DECK,DET.RM,DINE.S,DINING,DRAFT,DRESS,DUBBING,EDTG.RM,ELV.LOB,EM.RM,EMP.SP,EQUIP,EXAM,EXHIBIT,FIELD,FILE.RM,FOYER,FREEZER,GAME,GARAGE,GIFT,GRN.RM,GYM,INCNTR,INFO,INST.RM,INTVIEW,JC,KIOSK,KIT.S,KITCHEN,LAB,LAB.OFF,LAB.S,LAUNDRY,LIB.S,LIBRARY,LIV.RM,LOAD.DK,LOBBY,LOCKER,LOUNGE,MAIL.RM,MORGUE,MUSEUM,OBSERV,OFFICE,OM*BOIL,OM*CHIL,OM*COM,OM*CORR,OM*ELEC,OM*ELEV,OM*EQ,OM*FAN,OM*FURN,OM*JC,OM*LOB,OM*MACH,OM*MECH,OM*RR,OM*STAI,OM*STO,OM*TELE,OM*VEST,ON.CALL,OR,PANTRY,PATIENT,PHARM,POOL,PORCH,PRACT,PREP.RM,PRIV.RM,PRNT.RM,PROC.RM,PROJECT,QUAR.RM,READ,REC.RM,RECEIVE,RECEP,RECORDS,RECOVER,RESI,RETAIL,RR,SAUNA,SCREEN,SCRUB,SEATS,SEMI,SHOP,SHOWER,SNACK,SOUND,STACK,STAGE,STATION,STERILE,STO,STOCK,STUDIO,STUDY,SUITE,SUPPLY,SURGERY,TAPING,TELE,TEST.RM,THEATER,THERAPY,TICKET,TOOL.RM,TRAIN,TRASH,TRASH.R,TREAT,TUTOR,UTILITY,VAULT,VENDING,VEST,VIDEO,VIVARIA,WAIT.RM,WARM.RM,WEIGHT,WORK.RM,XRAY,Grand Total
10,ADP,,,,,,,,,,,,,878.0,,,,,,,,,,,,,,,,,,,,,,,703.0,,,525.0,,,,,,,,,,,,,218.0,,,373.0,,,,,,,,,,,,,,,28.0,,141.0,1467.0,,,,,,,,,,,,,,80.0,,,,,,,,220.0,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,195.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,5175.0
11,ADX,,,,,,,,,,,,,1166.0,,,,,,,,,,,,,,,,,,,,,,,,,,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,445.0,,,,86.0,,,706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0,,,,,,,,,,,,,,114.0,,,141.0,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,3485.0
12,AES,,,,,,,,,,12.0,,,,,,,,,,5606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.0,,,,,,,,,381.0,,,,,,,,,,,,,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.0,,409.0,,,,,,,,,,,,,,,,,,,,278.0,,,,,,,,8437.0
13,AHF,,,,,,,,3150.0,217.0,,,,,,,,,,,1381.0,,,,470.0,,671.0,,,1418.0,,,52.0,,,130.0,,,,,,,,,,,,2828.0,,,,,741.0,,,,,1059.0,,,,,,,,,210.0,18758.0,,,,,,,,574.0,,457.0,237.0,,2530.0,,20415.0,,,,7884.0,133.0,305.0,456.0,630.0,,221.0,907.0,,3847.0,1218.0,4010.0,276.0,484.0,358.0,,,422.0,,,,,,,,,,,,,,348.0,2379.0,,,,,130.0,,,,,737.0,,54.0,,,,142.0,,,2778.0,,,,,94.0,,,,,,,17.0,,,,,,,,,,785.0,,,274.0,,,3799.0,,87986.0
14,AHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,67.0,,,,,,,919.0,,,,71.0,,,,,,,,,,151.0,96.0,,,,,,,,,,,,,,,,,,,,,408.0,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,1996.0
15,AKA,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,0.0,,,,,,,1304.0,,,,,,,,,,,,,,,72.0,,,205.0,,,,,,,,,,,0.0,,,,,563.0,,,,,0.0,,,,,,,,,251.0,,,105.0,0.0,,,0.0,966.0,,,,,,,,,,,,,,512.0,,,,,305.0,,,,,,,,,,,,840.0,,144.0,,,,,75.0,,,,,,,,,,,,1064.0,,353.0,,,,,,628.0,,,623.0,0.0,8280.0
16,AKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,,197.0,,,,,,,,,,78.0,,,,,,42.0,1033.0,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,289.0,,,,,324.0,,,,,38.0,,,,,64.0,,,,253.0,,,340.0,,,,272.0,,,,,,132.0,,,85.0,,148.0,,,,227.0,,,,,402.0,,,,,,,,,,,,486.0,,178.0,,,,,,,,,,,,,,,,,821.0,,278.0,,,67.0,,,1057.0,,,473.0,870.0,8439.0
17,ALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,278.0,,,,,213.0,36.0,,,,1443.0,,,,194.0,,,,,,26.0,,,,217.0,332.0,,,68.0,,,,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,,4793.0
18,ANH,,,,,,,,,,,,,16561.0,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,680.0,,,,710.0,,,,,,,,2949.0,,,,488.0,,,12713.0,,300.0,,544.0,,,,,200.0,,,,,,,,,,250.0,,,46.0,,,199.0,117.0,22.0,,,,,,,,,,,,,,,,,,,,,,,4329.0,,,,,,,,,,,,,,5479.0,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,74.0,,45764.0
19,ANN,,,,,,,,2533.0,,,,,,,,,,,,11992.0,,,,,,,802.0,,3205.0,,1164.0,,,,,,,657.0,,,,,844.0,,,,681.0,,,,,,,,,,,,,,,,,,,671.0,1105.0,,,,,,,,13209.0,,2414.0,,,,228.0,9758.0,,,,,1463.0,,,,,217.0,,,889.0,2491.0,,50.0,401.0,,,,173.0,,,,,,,61.0,,,,,,,,251.0,,,,,45.0,,,,,1291.0,,,,,,,,,1127.0,,5244.0,355.0,,,,,,,,,,,,,,,,,,,1160.0,,,,,,2530.0,,67011.0
