,ROOM TYPE>,ADMIT,AIRLOCK,ALCOVE,ANIMAL,ANTE.RM,ARCHIVE,ARMORY,AUDI,AUDI.S,AV.RM,BALANCE,BAR,BED.RM,BOOK.ST,CAGE.ST,CAGE.WA,CALLCTR,CASHIER,CHAPEL,CLASS,CLASS.S,CLEAN,CLINIC,COLD.RM,COMMON,COMPLAB,COMPTR,CONDO,CONF,CONSULT,CONTROL,COPY.RM,COURT,DANCE,DARK.RM,DECK,DET.RM,DINE.S,DINING,DRAFT,DRESS,DUBBING,EDTG.RM,ELV.LOB,EM.RM,EMP.SP,EQUIP,EXAM,EXHIBIT,FIELD,FILE.RM,FOYER,FREEZER,GAME,GARAGE,GIFT,GRN.RM,GYM,INCNTR,INFO,INST.RM,INTVIEW,JC,KIOSK,KIT.S,KITCHEN,LAB,LAB.OFF,LAB.S,LAUNDRY,LIB.S,LIBRARY,LIV.RM,LOAD.DK,LOBBY,LOCKER,LOUNGE,MAIL.RM,MORGUE,MUSEUM,OBSERV,OFFICE,OM*BOIL,OM*CHIL,OM*COM,OM*CORR,OM*ELEC,OM*ELEV,OM*EQ,OM*FAN,OM*FURN,OM*JC,OM*LOB,OM*MACH,OM*MECH,OM*RR,OM*STAI,OM*STO,OM*TELE,OM*VEST,ON.CALL,OR,PANTRY,PATIENT,PHARM,POOL,PORCH,PRACT,PREP.RM,PRIV.RM,PRNT.RM,PROC.RM,PROJECT,QUAR.RM,READ,REC.RM,RECEIVE,RECEP,RECORDS,RECOVER,RESI,RETAIL,RR,SAUNA,SCREEN,SCRUB,SEATS,SEMI,SHOP,SHOWER,SNACK,SOUND,STACK,STAGE,STATION,STERILE,STO,STOCK,STUDIO,STUDY,SUITE,SUPPLY,SURGERY,TAPING,TELE,TEST.RM,THEATER,THERAPY,TICKET,TOOL.RM,TRAIN,TRASH,TRASH.R,TREAT,TUTOR,UTILITY,VAULT,VENDING,VEST,VIDEO,VIVARIA,WAIT.RM,WARM.RM,WEIGHT,WORK.RM,XRAY,Grand Total
42,CAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,741.0,,,,,,,,,,,160.0,,,,,,,,,,,,,,,1198.0,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.0
43,CAL,,,,,,,,,,4.0,,,,,,,1243.0,,,,,,,,,,23116.0,,6875.0,,56.0,157.0,,,,,,1024.0,2540.0,,,,,,,,,,,,4841.0,,,,,,,,,,,,,,,2046.0,3854.0,,,,,,,1673.0,3593.0,240.0,3247.0,371.0,,,,85874.0,492.0,3735.0,,24214.0,3380.0,336.0,198.0,,,722.0,250.0,,11112.0,4464.0,6201.0,4837.0,830.0,1410.0,,,274.0,,,,,,,142.0,,,,,314.0,,,1214.0,,,,,,,,,,,,,148.0,,57004.0,,,,5996.0,,,,,352.0,,,,,,,,,2560.0,,,,,,125.0,45.0,267.0,,,,,,3650.0,,275026.0
44,CAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
45,CAP,,,,,,,,,,,,,36950.0,,,,,,,,,,,,,,,,,,,,,,,,,,10486.0,,,,,,,,,,,,,,,,58480.0,,,,,,,,,,,9751.0,,,,450.0,,,32817.0,,418.0,,755.0,,,,,671.0,360.0,,,15687.0,672.0,352.0,173.0,,,,4239.0,,11.0,119.0,3922.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,7354.0,,,,,,,,,,,,,,5252.0,,,,,,,,,,,,,,,1199.0,,,,,,,8280.0,,,,,,,,198466.0
46,CAR,,,,,,,,,,,,,52686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,657.0,,,,,,,,,,,,18888.0,,,,126.0,,,49381.0,,,,,,,,,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,,15491.0,,,,,,,,,,,,,,9308.0,,,61.0,,,,,,,,,,,,,,,,,,,6297.0,,,,,,,,153995.0
47,CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,183.0,,,63.0,,,,4862.0,,,,586.0,15.0,,,,,,,,,322.0,133.0,,,,,,212.0,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,633.0,,,191.0,,8240.0
48,CBB,,,,,,,,,,,,,,,,,,,,874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,4062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4936.0
49,CBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.0
50,CCC,,,,,,,,,,,,,143.0,,,,,,,2505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,,,,,,,,,,,282.0,,,,,128.0,,,,,15.0,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,209.0,,,,,148.0,,,,,,,,,,,,,,445.0,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,4113.0
51,CDF,,,,,,997.0,,,,,,,,,,,,,,,,,,,,,,,2027.0,,288.0,,,,,,,,,,,,,,,,234.0,,,,80.0,,,,,,,,,,,,,,,887.0,,,,,,,,2047.0,1326.0,,,,,,,19165.0,,,,,167.0,,159.0,,,113.0,,,2892.0,1362.0,,,132.0,,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,2113.0,,,,,,,,834.0,3140.0,,,,,,,,,,,,,1446.0,,,,,,,,,,,,,,381.0,,39932.0
52,CDR,,,,,,,,,,,,,,,,,,,,2110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110.0
53,CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.0,,,,,,,,,,,,,,,,,,447.0,,,,,,,,,,,,,,,,,,,,4190.0,,,,,,,,,,,,,,,862.0,,,,1596.0,,,,,,22.0,,,756.0,165.0,392.0,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,,,,,72.0,,,,,,,,,290.0,,,,,,,,,,,,,,817.0,,10105.0
54,CEN,,,,,,,,,,,,,12292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.0,,,,,,,,,,,,2160.0,,,,390.0,,,9185.0,,531.0,,,,,,,223.0,,,,,275.0,,,,,106.0,,,64.0,,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,3250.0,,,,,,,,,,,,,,3230.0,,,,,,,,,,,,,,,,,,,,,,1349.0,,,,,,,,34031.0
55,CFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163055.0
56,CHD,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,10000.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0
57,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
58,CHP,,,,,,,,2106.0,,38.0,,,,,,,,,,19347.0,,201.0,,99.0,,233.0,,,2914.0,,,120.0,,,,,,,,,,,,,,,121.0,842.0,,,344.0,,,,,,,,,,,346.0,,,,1436.0,18868.0,,102.0,18.0,,541.0,,,,942.0,778.0,37.0,,,73.0,38288.0,,2549.0,,14204.0,1221.0,1016.0,3279.0,1060.0,,276.0,1873.0,,2098.0,3239.0,2296.0,1062.0,717.0,1030.0,,,,,,,,,169.0,,,,,,,,,1466.0,,,,,256.0,,,,,3000.0,475.0,,,,,,,,2005.0,841.0,97.0,90.0,,,,,,266.0,,,,,,,,,,,,,2446.0,,,881.0,,,2761.0,,138467.0
59,CIC,,,,,,,,,,,,,52049.0,,,,,,,,,,,,,,427.0,,0.0,,,,,,,,,,,,52.0,,,,,,,,,,,4878.0,,,,,,12050.0,,,,,,,,,,,,2070.0,,,30038.0,,,0.0,2679.0,2010.0,,,,557.0,,,,,6061.0,,3330.0,,,468.0,,357.0,154.0,58.0,,33.0,765.0,,,,,,,,,,,,,,,,,,377.0,1313.0,,,,10544.0,10995.0,,,,,,,0.0,,,,,,,4126.0,,4170.0,4242.0,,,,,,,,,,,,710.0,,,,,,68.0,421.0,,,,,4240.0,0.0,,159242.0
60,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
61,CLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,272.0,,,,,,,1012.0,,,,,,,,,,,,,,52.0,,7.0,,,,,,,,,,,,,,,,,,,,206.0,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,169.0,,,,,,,,2101.0
62,CLS,,,,,,,,,,0.0,,586.0,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,1038.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,2196.0,,,,,,,,,103.0,4897.0,0.0,,,,,2397.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,1221.0,,,,0.0,,,743.0,,,,,,,6776.0,,,,0.0,,,,,,,,,,,0.0,,,,59.0,0.0,,895.0,0.0,,,,,3794.0,,24705.0
63,CMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
64,CNG,,,,,,,,,,,,,2339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,,,,143.0,,,3862.0,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.0,,,,,,,,,,,,,,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8967.0
65,COH,,,,,,82.0,,,,,,,,,,,,,,1809.0,,,,,,,,,177.0,,,,,,,,,,,,,,,,,,,,,,,357.0,,,,,,,,,,,,,,190.0,,,,,,213.0,,,,,199.0,,,308.0,,,,,,,,,9.0,,,13.0,,,,246.0,,,5.0,,,,,,,,,,,,,,,,,,,208.0,,,236.0,,68.0,,,,,,,,,,,,,,429.0,,,,,,,,,,,,,,,,,,,,,,478.0,,,,,,89.0,,5116.0
66,COL,,,,,,,,,,,,,8961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,,,,38.0,,,614.0,,,,779.0,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,1104.0,,,,,,,,,,,,,,84.0,,,462.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,12259.0
67,CPA,,,,,,,,,,95.0,,,,,,,,,,9871.0,,,,,,609.0,,,493.0,,,95.0,,,,,,,,,,,,,,,202.0,,,,66.0,,,,,,,,,,,,,,,,751.0,,,,,13356.0,,,257.0,,1282.0,228.0,,,,15203.0,,,,10381.0,312.0,156.0,,,,450.0,2352.0,,4971.0,1146.0,2669.0,,252.0,123.0,,,37.0,,,,,,,,,,,,,,,328.0,,,,,39.0,,,,,9568.0,,,,,8935.0,,,,225.0,,226.0,1588.0,,,,,,,,,,,427.0,,,,,,,,54.0,,,678.0,,,558.0,,87983.0
68,CRC,,,,,,,,,,,,,65523.0,,,,,,,2051.0,,,,,,,,,577.0,,,,,,,,,,,,96.0,,,,,,411.0,,,,,2840.0,432.0,,,,,,,,,,,143.0,,,,,,2508.0,,,46095.0,3532.0,2047.0,697.0,1255.0,,,,,1630.0,,,,,7232.0,248.0,2786.0,1920.0,,697.0,,668.0,702.0,829.0,,1296.0,2144.0,93.0,,,,,,,,,,,,,,,,,,536.0,,,,39662.0,14564.0,,,,,,,,,,,,,,8040.0,,,4626.0,,,,,,,,,,,,1709.0,,,,494.0,,,,,,,,,288.0,,218371.0
69,CRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,539.0,,,,,,,387.0,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,62.0,,4756.0
70,CSA,,,,,,,,,,,,,,,,,,,,,,,,633.0,,,,,142.0,,,,,,219.0,,,,,,,,,,,,3093.0,,,,,,,,,,,,,,,,,,,98.0,13639.0,,738.0,,,,,,,61.0,,201.0,,,251.0,1870.0,,,,4371.0,269.0,106.0,79.0,,,54.0,,,1555.0,381.0,461.0,,145.0,15.0,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,138.0,,,97.0,,,330.0,,29236.0
71,CSC,,,,,,,,,,,,,,,,386.0,,,,,,,,370.0,,,78.0,,1687.0,,148.0,,,,,,,,,,51.0,,,,,,2615.0,413.0,,,354.0,,,,,,,,,,,92.0,,,,775.0,16995.0,,135.0,,,234.0,,,671.0,166.0,1664.0,63.0,,,,18758.0,1243.0,,,13418.0,221.0,200.0,210.0,,,614.0,638.0,,3009.0,1672.0,1287.0,7.0,317.0,601.0,,,58.0,,,,,,,,,874.0,,,104.0,,,372.0,,,,,224.0,,,,,546.0,,,,,,,,,1923.0,,,,,450.0,1635.0,,,304.0,,,,,,,,,,180.0,,,1179.0,,1327.0,713.0,,,2918.0,693.0,82592.0
72,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.0,,1318.0
73,CTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946.0,,,,,,,1274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,,,,,,1094.0,,,,,,,936.0,,,,,61.0,63.0,,,,0.0,,,325.0,514.0,1181.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,41.0,,7030.0
74,CTV,,,,,,,,,,,,,,,,,,,,4806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0,,,,,299.0,,,,,42.0,,,701.0,327.0,,,,,,,,,,,,233.0,,,,,,,,,,206.0,,,,,,,,,,,,,,,,,,,190.0,,786.0,,,,,,,,,,,,,,,,,,,,322.0,,,,,,,,8776.0
75,CUB,,,,,,,,,,,,,,,,,,626.0,,,,,,,,,225.0,,3113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,,,,,,,,,766.0,,2338.0,,,,,18433.0,,,,251.0,,,,,,205.0,,,120.0,1418.0,0.0,88.0,291.0,,,,,,,,,,,122.0,,,,,,,,588.0,,,,,,,,,,757.0,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,,287.0,,,,,,,,132.0,,30276.0
76,DAP,,,,,,,,,,,,,,,,,,,,,,,1514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.0
77,DCC,,,,,,,,,,,,,,,,,,,,11855.0,,,,,,,,,830.0,,,,,,,,,,1963.0,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,1750.0,,,,,,,4975.0,,,,,102.0,,244.0,,,85.0,,,2165.0,1554.0,,,286.0,100.0,,,328.0,,,,,,,,,,,,,,,2183.0,,,,,,,,,,,,,,,,,,,1568.0,,,,,,,,,,,,,,,,,,466.0,,,,20.0,,,,,,1100.0,,31814.0
78,DEN,,,,,,,,,,49.0,,,,988.0,,,335.0,,,4481.0,,,30393.0,103.0,,1523.0,,,3994.0,186.0,341.0,274.0,,,39.0,,,,,,134.0,,,,,,1003.0,194.0,,,274.0,,,,,,,,,,1.0,,,,,,21396.0,106.0,506.0,,,3434.0,,,470.0,1718.0,1654.0,345.0,,,,23688.0,,625.0,,18820.0,88.0,1012.0,1230.0,,,317.0,2737.0,,7232.0,3549.0,4576.0,,965.0,400.0,,687.0,32.0,,,,,,,56.0,,,,,,,,1069.0,,203.0,,,351.0,,,,,1582.0,382.0,,,,1168.0,,,794.0,2302.0,,,704.0,,3471.0,530.0,,,,,,,,,,,1883.0,,,,,299.0,,,4611.0,,,1139.0,2256.0,162699.0
79,DLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.0
80,DLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0
81,DLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0
82,DMB,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,8356.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8356.0
83,DMC,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,7500.0,,,0.0,0.0,7500.0
84,DML,,,,,,1161.0,,,,,,,,,,,,627.0,,,,,,,,,,,3123.0,,,,,,,,,,,,,,,,,,14.0,,2436.0,,,,,,,,,,,,,,,,,140.0,,,,,1947.0,18170.0,,,,55.0,1743.0,,,,,10097.0,47.0,1044.0,,,373.0,122.0,592.0,3453.0,,258.0,,,1475.0,1932.0,,,644.0,405.0,,,142.0,,,,,,,69.0,,,,,2479.0,,,400.0,,,,,384.0,,,,,4510.0,,,,,63606.0,,,,4037.0,,,2509.0,,,,,,,,,,,,,,,,,,,361.0,,,,,,1487.0,,129842.0
85,DMT,,,,,,,,,,,,,19034.0,,,,,,,,,,,,,,,,365.0,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,229.0,,,,221.0,,,184.0,,1650.0,,607.0,,,,,383.0,,,,4453.0,,784.0,,,,162.0,,,1292.0,115.0,1906.0,,69.0,,,,,,,,,,,,,,,,,121.0,121.0,,,,91.0,,1506.0,,,,,,,679.0,,,,,,,3736.0,,,,,134.0,,,,,,,,,,,,,,100.0,,,,,,,,,116.0,,38552.0
86,DMV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47632.0
87,DNI,,,,,,,,1273.0,,,,,,,,,,,,,,,,,,,,,1128.0,,403.0,,,,,,,,,,,,,,,,258.0,84.0,,,,,,,,,164.0,,,,,,,,,,,,,,,157.0,,,562.0,,84.0,,,,,2662.0,,,,,33.0,,81.0,,,48.0,,,152.0,673.0,,,89.0,,,,139.0,,,,,,63.0,,,,,,,,,93.0,,,,,,,,,,,,,,,,0.0,,,259.0,,,,,,,,,264.0,,,,,,,,,,,,,160.0,,,,,,1139.0,415.0,10383.0
88,DOH,,,,,,,,,,,,,,,,1342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,,,,,,,,16734.0,,,,,,,,,,,,,,,59.0,,,,,,227.0,,,,,,107.0,,,,1454.0,691.0,214.0,,,,,382.0,,556.0,,176.0,415.0,90.0,66.0,,,,,,,,,181.0,,,727.0,,,,,,,,,,,149.0,,,289.0,,,,,,,,,,,91.0,,,,,,403.0,,,,,,,,,,,,,,,,,,2690.0,,,,,,27257.0
89,DRB,,,,,,364.0,,,,,,,,,,,,,,,,722.0,,85.0,,,708.0,,3017.0,,,339.0,,,,,,,,,,,,,,,334.0,,,,608.0,,,,,,,,,,,,,,,884.0,17445.0,,,,,,,,,,,,,,,17245.0,,479.0,,,647.0,47.0,,,,206.0,,,3013.0,1850.0,,,166.0,511.0,,,,,,,,,,,,,,,,,,333.0,,,,,,,,,,,628.0,,,,,,,,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,458.0,,,1094.0,,52563.0
90,DRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,92.0,,,,,,,,,,193.0,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,138.0,,,,2080.0,,,,844.0,,,,,,9.0,,,,239.0,,,17.0,,,,,,,,,,,,,,,,,,,106.0,,,,,46.0,,,,,,,,,,,,,,64.0,,1295.0,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,5684.0
91,DXM,,,,,,,,,,,,,9188.0,,,,,,,,,,,,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,1273.0,,,,,,,,164.0,,,,107.0,,,962.0,,,,3337.0,,,,,840.0,367.0,,,2595.0,,,160.0,,,133.0,,,62.0,,1483.0,,,,,,,,,,,,,,,,,,,,,,,,,,1118.0,,,,,,,472.0,,,,,,,2098.0,,,,,,,,,,,,,,,,,,,176.0,,,592.0,,,,,,,,25388.0
92,ECT,,,,,,,,,,,,,,,,,,,,4632.0,,,,,,,,,673.0,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0,,,,26.0,,101.0,,,,,101.0,,,,,700.0,,,,,28.0,,122.0,,,17.0,,,,425.0,,,,,,,43.0,,,,,,,,,,,,,,,400.0,,,,,20.0,,,,,,,,,,,,,,161.0,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,7950.0
93,EEB,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,715.0,,2773.0,,,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,5856.0,,,,,,,,,,634.0,435.0,,,,20023.0,,736.0,,8835.0,1103.0,720.0,216.0,,,153.0,463.0,,945.0,1345.0,3290.0,,,111.0,,,,,,,,,,,,,,,,,,315.0,,,,,30.0,,,,,1250.0,,,,,,,,,698.0,,,188.0,,111.0,,,,,,,,,,,,,,,,,,,,774.0,,,739.0,,53407.0
94,EGG,,,,,,,,,,,,,,,,,,,,1560.0,,,,,,,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,1857.0,,,,,,,,357.0,,,,,,134.0,1199.0,,,,752.0,19.0,,,,,44.0,,,618.0,352.0,276.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,256.0,,9099.0
95,ELB,,,,,,37787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.0,,,,,,,,1987.0,,,,,,,,146.0,,124.0,,,304.0,994.0,,5664.0,,88.0,,,,,,,,,,,,,,,485.0,,2558.0,766.0,,,,,18.0,,,,,,,,,,10525.0,,,,9581.0,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,539.0,,72657.0
96,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,123.0,,277.0,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.0
97,ESB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.0
