,Building Name,BLDG Code,2018-01-30 00:00:00,2018-02-28 00:00:00,2018-03-29 00:00:00,2018-04-29 00:00:00,2018-05-29 00:00:00,2018-06-27 00:00:00,2018-07-29 00:00:00,2018-08-27 00:00:00,2018-09-26 00:00:00,2018-10-28 00:00:00,2018-11-27 00:00:00,2018-12-31 00:00:00,2019-01-30 00:00:00,2019-02-28 00:00:00,2019-03-29 00:00:00,2019-04-29 00:00:00,2019-05-29 00:00:00,2019-06-27 00:00:00,2019-07-29 00:00:00,2019-08-27 00:00:00,2019-09-26 00:00:00,2019-10-28 00:00:00,2019-11-27 00:00:00,2019-12-31 00:00:00,2020-01-30 00:00:00,2020-02-28 00:00:00,2020-03-29 00:00:00,2020-04-29 00:00:00,2020-05-29 00:00:00,2020-06-27 00:00:00,2020-07-29 00:00:00,2020-08-27 00:00:00,2020-09-26 00:00:00,2020-10-28 00:00:00,2020-11-27 00:00:00,2020-12-31 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-31 00:00:00,2021-04-29 00:00:00,2021-05-28 00:00:00,2021-06-29 00:00:00,2021-07-29 00:00:00,2021-08-27 00:00:00,2021-09-28 00:00:00,2021-10-28 00:00:00,2021-11-30 00:00:00,2021-12-30 00:00:00
21,Hoffman Hall,HOH,14863.579239606857,17160.65931034483,17718.723448275858,25085.400000000005,26757.760000000006,24249.220000000005,25085.400000000005,31507.15,40113.21,45821.72000000001,42948.38000000002,34312.78999999999,33640.85,30802.439999999995,35707.71000000001,25921.580000000005,39831.98,36303.44000000002,36303.44000000002,47695.469999999994,64709.488046875,85420.40551757812,79923.9951171875,75735.4966796875,70427.86,68013.01999999999,59814.5,52355.069999999985,60797.59354838709,61138.32400000001,71299.33548387096,67250.01774193547,89391.96799999998,66779.70967741935,75368.28733333331,55990.34516129033,64956.85161290323,57135.737857142856,52258.56129032259,50609.90099999998,55949.92546166205,42390.95065104167,29194.664516129033,27071.649677419347,32533.81333333333,35418.987096774195,52141.121999999996,56641.596774193546
22,International Residence College,IRC,24083.4091091156,40042.77103448276,19675.91379310345,24825.04137931035,23119.390000000003,24523.399999999994,29287.789999999997,38927.030000000006,34640.63,29550.13999999999,30932.409999999993,30991.669999999995,29391.719999999994,27495.479999999996,27455.959999999992,25652.542758620693,26916.120000000014,38105.009999999995,38105.009999999995,37717.990000000005,50028.04,51611.9375,47576.96875,48877.0,45634.0,53352.0,40219.0,26515.0,27634.67213114754,28555.82786885246,27634.67213114754,26713.516393442624,29476.983606557376,27634.67213114754,31319.29508196721,27634.67213114754,14482.58064516129,13124.838709677419,21850.106129032258,17137.984999999997,18566.492258064518,31839.978666666666,38249.032258064515,42816.14258064516,63721.6,37796.13870967741,42463.3,19358.709677419352
23,Int' Residence College Kitchen,IRC-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17793.44262295082,18386.55737704918,17793.44262295082,17200.32786885246,18979.67213114754,17793.44262295082,20165.90163934426,17793.44262295082,12097.6,11355.001785714287,9693.483870967742,11500.365666666668,12112.589032258065,20271.98933333333,24565.161290322583,31221.764838709674,51402.666666666664,30707.419354838712,34809.5,16450.645161290322
24,Iovine & Young Hall,IYH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20760.22,13741.630000000001,8765.52,5709.2300000000005,4327.7300000000005,6358.760000000001,3343.49,4458.42,3990.8612903225808,9221.807666666668,11755.722580645162,14750.653548387098,17819.573333333337,12653.922580645163,9036.440666666664,9442.596774193547,9004.851612903225,7666.2535714285705,5730.353225806451,6911.338,4737.337096774194,7826.101333333333,12887.806451612902,10400.915483870966,11244.671999999997,4590.909677419356,4722.432000000001,1799.3999999999999
25,Jill & Frank Fertitta Hall,JFF,14495.40415687561,13020.0,12031.206896551725,18241.03448275862,14798.67,21263.0,35831.0,44586.69,41754.0,35286.0,28136.0,9510.0,11680.0,5994.0,13693.0,18849.068965517243,16435.0,25326.0,25326.0,38005.0,51519.0,37216.0,28901.0,19169.0,19579.0,23348.0,16284.0,11795.01,14549.032258064515,5887.933333333333,7929.677419354838,24442.322580645163,30729.6,17067.09677419355,11162.2,5992.258064516129,6968.774193548387,6677.25,5005.774193548387,7648.266666666667,12760.935483870968,26176.0,37287.09677419355,37693.45161290323,48086.4,27265.161290322583,37582.6,9737.419354838708
26,John Hubbard Hall (SAS),JHH,775.0,672.0,1271.0,2100.0,2528.0,2494.0,4170.0,9889.0,3300.0,2430.0,1353.0,640.0,750.0,696.0,1189.0,2170.0,2370.0,2494.0,4448.0,9251.0,3300.0,2592.0,1230.0,680.0,750.0,768.0,1189.0,2030.0,2370.0,2666.0,4170.0,9251.0,3520.0,2430.0,2516.0,1830.0,1280.0,1450.0,1566.0,1798.0,2291.0,2752.0,4170.0,9251.0,3520.0,2430.0,2442.0,1830.0
27,Popovich Hall,JKP,24954.471088752744,19175.81931034482,13251.912068965521,19055.441379310338,18329.990000000005,25777.79,34466.24,37012.09000000001,38937.83000000001,33923.24,28802.599999999995,18154.88,16424.780000000002,10893.54,18991.270000000004,19690.622758620684,25025.539999999997,29174.93,29174.93,35218.61,43542.01631347655,32226.602294921875,18848.17835998535,10112.706369628902,7709.000000000001,10647.859999999999,4321.400000000001,646.8199999999999,1681.9064516129033,7766.812333333333,4704.522580645161,10283.596451612904,15255.253333333336,6726.648387096775,3345.214666666667,887.0612903225808,213.04774193548386,230.27035714285714,201.48451612903222,920.6436666666667,7102.558387096773,11689.354666666664,20336.129032258064,24087.661935483873,33214.655999999995,18899.796774193554,19920.34,9756.087096774192
28,John Mckay Center,JMC,33328.71300813674,24925.078620689645,27157.913448275856,42108.03103448275,43350.84,58349.69999999999,90499.81,125229.20000000001,177372.19,171081.7,4151.66,34912.28999999999,44574.61,28084.179999999997,44053.07,43511.63206896551,48629.939999999995,71716.36,71716.36,97909.61000000002,123775.90774414066,73242.60748291016,53593.99230957031,35329.77250000001,32719.73999999999,41837.159999999996,22439.420000000006,15639.039999999999,130754.06129032258,161904.0926666667,96807.9,93442.96741935487,117198.52799999999,90916.57741935484,16776.688000000002,19638.416129032263,28545.75483870968,28806.248928571425,15076.641612903226,25049.523333333334,30094.282258064515,60826.97600000001,81769.18064516128,93937.81032258063,139617.1306666667,139202.70967741933,123393.21500000003,89891.53548387099
29,Kaprielian Hall,KAP,27098.404799938202,24362.10482758621,28242.18655172413,36868.46896551723,35484.47000000001,28980.75,65205.81,57734.8,63402.51000000001,52644.19,5231.390000000003,22271.75,9555.439999999999,25519.89,35061.48999999999,38097.41793103447,40795.53,48502.70999999999,48502.70999999999,56300.19,66202.71952148437,52809.34552001953,45879.23077392578,36261.727368164065,15345.160000000002,540.6500000000001,343.24,28206.230000000003,37161.116129032256,41127.762,52497.35806451613,60958.467741935485,63399.79733333333,50878.9935483871,68540.31666666668,39907.48064516129,28920.578064516125,26810.800357142864,18505.704516129033,27910.866333333335,29210.072258064512,29630.61333333333,30792.1935483871,21624.5235483871,74877.83466666666,43020.83225806452,50851.911,18618.677419354837
30,Glorya Kaufman Intl. Dance Center,KDC,5659.849946613311,9184.0,5626.681724137931,8144.493103448276,10046.0,18256.0,22405.0,22898.0,21270.0,16272.999999999998,10462.0,4292.0,5256.0,2381.0,5286.0,8415.976206896552,7823.0,14118.0,14118.0,20917.0,25143.0,14633.0,8992.0,4083.336687011719,2308.67,3966.68,3780.0,6047.0,11017.741935483871,12247.066666666666,13488.387096774193,17022.064516129034,21093.333333333332,16303.548387096776,5251.866666666667,1805.8064516129032,2604.3870967741937,3033.607142857143,2392.967741935484,5538.033333333334,9913.322580645161,16184.533333333333,18411.290322580648,17400.0,23861.333333333332,14337.096774193547,15057.9,2425.161290322581
31,Musick Law,LAW,33204.21150440216,32709.3972413793,31725.74206896553,44063.63793103448,42067.23,57364.310000000005,72043.06,77823.5,68451.49999999999,58325.15000000001,51914.91000000001,23753.680000000008,24001.7,11946.849999999999,26807.300000000003,45532.425862068965,36605.649999999994,42276.85,42276.85,46426.499999999985,65489.89090820312,49394.93444824219,47269.13903808594,83680.34725097656,63247.229999999996,29352.160000000003,18707.300000000003,30614.53,37866.948387096774,42785.507666666665,37445.15806451613,41661.6806451613,44396.83199999999,33721.548387096766,27331.783999999996,17697.077419354835,18288.59870967742,20320.558928571427,23186.865806451613,23707.519333333323,21721.64548387097,38142.52800000001,57349.70322580646,45287.88741935483,49354.026666666665,60615.793548387104,47735.6,19678.509677419355
32,Loker Hydrocarbon,LHI,5297.6241081714625,2091.9668965517244,5093.3,13117.313793103447,10145.929999999997,11968.5,11618.290000000003,11914.269999999999,10039.949999999999,9762.040000000003,12140.48,20097.970000000005,13074.130000000001,13397.750000000004,12992.07,13554.557586206896,12522.319999999998,15716.530000000004,15716.530000000004,14959.570000000002,19726.406579589842,13907.845001220703,9218.105331420898,7618.3838085556035,5418.85,13917.119999999997,12569.519999999999,17755.15,20260.335483870967,15233.431,14066.274193548386,12813.59387096774,16416.053333333337,11057.641935483873,6295.372,3047.1483870967745,3978.147096774194,3629.6917857142853,3702.4019354838706,5796.655333333332,6386.866451612903,9372.992,8818.422580645163,9216.920322580645,11527.01866666667,8441.845161290323,8092.578999999998,1268.4967741935484
33,Stabler Memorial Laboratories,LJS,3100.0,4200.0,6200.0,7620.0,9099.526141964585,12554.158639346111,18005.56875061793,22516.770977681634,19654.75606086754,6503.907971759837,5940.0,2880.0,3000.0,4350.0,5800.0,7874.0,8530.805758091798,12554.158639346111,19205.940000659128,21064.076075895722,19654.75606086754,6937.501836543826,5400.0,3060.0,3000.0,4800.0,5800.0,7366.0,8530.805758091798,13419.962683438947,18005.56875061793,21064.076075895722,20965.073131592046,6503.907971759837,6426.0,3360.0,3136.0,2610.0,2900.0,3335.0,8246.445566155406,13852.864705485365,18005.56875061793,21064.076075895722,20965.073131592046,6503.907971759837,6237.0,3360.0
