,Bldg No.,Bldg Name,Bldg Code,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
10,13.1,Commons,COM,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,14.0,Dosan Ahn Chang Ho Family House,AHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.0,College Academic Services,CAS,199.46682844777607,251.52159745195237,265.36839787306184,0.0,28.176786041679392,1.0059280147972953,0.0,0.0,0.0,4.015214554974268,48.17762179743684,276.35381709772577,272.7794573769957,279.417874291177,97.38748884450295,20.07412290236394,27.086218958262904,0.0,0.0,0.0,2.005436374881994,24.063852909686616,123.37962962962963,196.45884093827308,137.4404301064286,144.43840670663715,172.44067333807791,59.1248459017379,4.001265202476945,0.0,0.0,0.0,1.0021427816088118,24.035707347001377,215.22538937699682,357.63649138327014,359.8780082175699,146.35998494259363,163.31088795585336,62.10021876519202,20.029187744426874,3.0051829934269327,0.0,0.0,4.007897607245917,72.19159630736884,108.17063797079172,236.52464107421267
13,16.0,Heritage Hall,HER,9996.597883744236,9431.100510316866,9737.02715891656,7778.4885229797055,7793.129654084051,6106.328918497092,5190.810819344214,5677.27322619842,6973.4698540242625,7802.618030460791,10794.630602252008,10992.111964188398,13334.613938113567,13415.966505751445,11412.202090147537,8783.717350068804,8698.011288222211,6746.6044346637655,6108.831456213349,5369.707715046918,4174.059695385285,5418.509311268932,9132.8469974668,12647.778214686034,11815.76205397792,10805.831209748265,10372.52111323409,7967.98506865598,7159.073635344775,6422.820426530455,6241.559108482979,5883.531444762792,6246.119703747346,6950.026638124311,9492.216918027072,10099.02971772578,10154.325012774316,9294.966013705378,10383.866593181312,7716.0236770918345,8144.223578714705,7022.584203109676,5367.038357603471,5612.488464455391,5729.190215132079,7336.569539330821,8778.667822508603,9706.192763609912
14,16.1,Heritage Hall GALEN CENTER ,HEX,3441.072750270387,1950.7833696998289,1476.1626587569492,1485.2430699398283,729.0,1218.0,1380.0,1565.0,1487.0,0.0,1738.0,1553.0,1421.0,1522.0,1001.0,874.0,836.0,1237.0,1415.0,1327.0,1396.0,0.0,1602.0,1251.0,0.0,1061.0,0.0,156.0,412.0,744.0,758.0,929.0,1050.0,0.0,0.0,1574.0,993.0,1001.0,779.0,754.0,741.0,1137.0,1387.0,1315.0,1224.0,739.0,671.0,1224.0
15,18.0,Doheny Library,DML,6264.461357818058,7209.751117031864,7884.99893314765,6682.717553952929,7024.496833194477,5249.984268468244,3967.3917989703127,4327.972511383916,3758.4883987008984,4062.589103527806,5002.639043098572,7586.0807536358425,7441.103938107906,6067.005522362391,6094.752738439998,4981.7218345281035,5055.9375854593545,3810.552045722259,3152.454927443479,3394.944552476658,3518.6311149999683,4116.99762792411,4939.521831910532,5812.698042481482,5404.386532876732,4885.906132688456,5102.320732103788,4146.296405308885,3597.0983080158126,3230.934845277017,2973.6220034797407,2587.6697623838886,2478.1014705439243,2489.8341636490563,3225.6981923212143,3323.135171468837,3232.6913959769645,2610.229005504179,5047.133197612091,4364.778196212452,4691.838338599919,3674.260123437923,3567.4058345689336,3800.7124089067265,4235.986060455673,5506.105251937955,6365.992614067394,8740.84090549823
16,19.0,Gerontology Center,GER,4739.13509288887,6323.446633871717,6303.606198088007,4426.837662513067,4847.673367257716,3693.8463602982642,3139.991101230076,3288.2129244912335,4288.536705271908,5285.84338081715,6443.074923273309,6422.002841472909,8033.508591334561,8416.402975280991,7220.487485905444,6673.721109045563,7091.947147095477,5225.376022079211,4577.768678830616,4504.143542903935,4413.912584605482,5651.996359734235,7293.355529512027,8977.781564178544,9504.809335437567,8439.419850397822,8127.375693545919,6543.484736327835,5752.135837782357,5134.389581826931,4907.240536180072,4667.218147910587,4654.12892122682,4987.73127583686,6446.059078957074,7408.046151552904,7876.7522157255935,6795.353828530629,6789.79649702664,5461.57043559629,5329.437761052893,4553.571353191802,4255.134812064545,4322.867401707746,4683.077933083894,5517.220314703586,6072.9678502088345,7923.917314079293
17,20.0,Scene Dock ,SCD,1709.9081543372588,114.9832806820968,87.40514727543547,81.47433794476298,12.0,10.0,11.0,15.0,19.0,0.0,550.0,877.0,380.0,37.0,20.0,17.0,15.0,11.0,11.0,16.0,20.0,0.0,798.0,347.0,0.0,490.0,0.0,30.0,14.0,11.0,12.0,12.0,87.0,0.0,0.0,860.0,342.0,46.0,31.0,17.0,11.0,11.0,15.0,18.0,26.0,563.0,872.0,410.0
18,23.0,Biegler Hall,BHE,901.99590285927,943.7526197154572,984.0760737332852,815.4195318879579,840.1167939570828,657.0516609435338,542.4419139149142,554.9612256671667,732.2316070979672,942.3725856835499,1027.493441247704,1085.7400250197686,1382.9571765357407,1450.6856404901366,1249.4199328072539,1146.8406435408383,1231.3170824687827,925.2827464039059,809.8257866347939,794.0254890317893,772.6601252135029,1007.6511996413636,1288.9053951571686,1595.340122982475,1694.5397554478334,1620.500695803294,1448.9676472337094,1317.5343376627777,1105.2644189397374,988.0225757765063,948.5259098596495,865.3775894507378,824.222293694106,889.2244587047268,1149.2185681760807,1309.848661824131,1369.3425635341137,1189.3846458292815,1206.330695060879,970.174865282969,947.1527884565305,812.6431245741869,760.6154387074271,772.6909640377364,836.9101444764331,984.6230094561106,1084.7029867255806,1414.694608983509
19,24.0,Vivian Hall,VHE,3886.3114590996574,4166.729741491881,4353.431968512984,3572.947088197563,3802.9906386014395,2974.314731601941,2453.8878792481646,2510.6270909269438,3314.0404011331043,4270.959832097546,4650.674775546988,4922.720429909853,6263.2165667063255,6572.171112533943,5658.007743022542,5199.636685098364,5575.963180376438,4197.974237327279,3665.707702411792,3595.0986197381153,3501.80004043377,4566.811326871873,5833.429056113863,7225.764763753648,7679.883030723471,6697.232699824173,6566.917070125978,5238.037681001077,4619.444005175769,4125.34521811159,3940.8088588282685,3745.254843263113,3736.486751806815,4030.0853426161652,5208.413760700059,5937.411039291591,6206.045436894304,5391.451849324315,5462.721498063514,4388.899248014166,4283.560086549848,3678.47625845363,3439.147624358505,3492.8755360366854,3784.9255350187236,4457.912323783005,4906.956162188067,6403.522761857373
20,25.0,University Computing Center ,UCC,1006.1400089921626,75.92562289133814,30.670009315732557,32.89599089583756,0.0,0.0,28.0,95.0,110.0,0.0,552.0,231.0,155.0,85.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,239.0,0.0,860.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,27.0,Powell Hall ,PHE,1143.8227572651424,1235.9567033021822,1290.7115648833706,1056.8998865073763,1135.9878971505348,888.1561566928642,732.9986309972752,749.9471496464452,989.9340135477149,1275.7745520675646,1388.3027324134653,1469.8639530952573,1870.8797609945343,1962.569876004585,1690.0983801583393,1552.5813574520778,1665.5909229884585,1251.2847091385897,1094.980235334654,1073.5899509574974,1046.0195257374965,1364.148084730565,1742.1996129790732,2158.401663144665,2294.0509203151764,2000.225618830697,1961.5978639373604,1564.350793334155,1379.869944506121,1231.9794332095564,1177.155453177462,1118.741689896967,1115.8238721248215,1203.8231509766088,1555.800567966544,1773.2599772125884,1853.8022244700785,1610.1770009239544,1631.7646023936345,1310.7054193257563,1279.5383626890116,1098.7943191718286,1027.0059700500485,1043.3536950935159,1130.2929772871898,1331.6189619225727,1465.752441121923,1912.4917886664923
22,29.0,Watt Hall ,WAH,3033.5564841033206,3216.0057806517566,3283.5733031336254,2596.796676791848,2774.072112673921,2153.232537937268,1904.0709470773934,2036.160682874664,2594.9812559075604,3092.9687937007507,3508.780435583515,3717.516242381113,4907.732985224146,4963.0251323416105,4131.449302184458,3765.0550836340167,4280.033788591908,3246.5959838111075,2703.653749066025,3497.79546269426,4556.9541350503405,3307.2202680484525,4701.762753857173,5655.796795922213,5561.6628315686585,6231.317153550242,4755.668600785033,4080.588728425513,3397.3361103702223,2987.79256081955,3021.878121421985,2752.2606650646753,2874.1867511820656,2918.5308901724898,3771.859689585327,4304.065037587124,4545.330460414552,3950.6891025309505,4153.025761518512,3179.654667228638,3102.093720027796,2663.90055702737,2489.8579542609828,2698.491135002439,4024.265433906574,3498.357147939554,3554.5483540831056,4687.616564398379
23,31.0,Student Health Center,SHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,32.0,Annenberg Sch. of Communications,ASC,42.670093684537115,0.0,0.0,73.38446724179776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,35.0,Taper Hall,THH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
